{life}	sup=53
{sin}	sup=11
{end}	sup=11
{fear}	sup=11
{believe}	sup=11
{good}	sup=11
{keep}	sup=11
{break}	sup=11
{world}	sup=11
{could}	sup=11
{light}	sup=12
{say}	sup=12
{d}	sup=12
{try}	sup=12
{let}	sup=12
{almost}	sup=12
{always}	sup=12
{face}	sup=12
{memory}	sup=12
{hold}	sup=12
{won}	sup=12
{stay}	sup=13
{hope}	sup=13
{pain}	sup=13
{love}	sup=13
{friend}	sup=13
{deep}	sup=13
{change}	sup=14
{around}	sup=14
{gotta}	sup=15
{wanna}	sup=15
{hand}	sup=15
{easy}	sup=15
{cold}	sup=15
{cry}	sup=15
{alone}	sup=15
{blood}	sup=15
{scream}	sup=15
{come}{back}	sup=16
{get}	sup=16
{would}	sup=16
{thing}	sup=16
{place}	sup=17
{lose}	sup=17
{find}	sup=17
{follow}	sup=17
{night}	sup=17
{long}	sup=18
{man}	sup=18
{time}	sup=71
{inside}	sup=19
{turn}	sup=19
{tonight}	sup=19
{us}	sup=19
{live}	sup=20
{eye}	sup=20
{fall}	sup=21
{wrong}	sup=21
{look}	sup=21
{win}	sup=21
{never}	sup=22
{run}	sup=23
{die}	sup=24
{far}	sup=25
{feel}	sup=25
{make}	sup=25
{nothing}	sup=26
{yeah}	sup=26
{leave}	sup=27
{heart}	sup=27
{way}	sup=33
{see}	sup=35
{back}	sup=35
{right}	sup=38
{take}	sup=41
{cause}	sup=43
{come}	sup=45
{go}	sup=51
