{it}{s}	sup=80
{i}{will}{when}{you}{me}	sup=2
{i}{will}{die}{i}{not}	sup=2
{i}{will}{die}{i}{die}	sup=2
{i}{will}{die}{will}{not}	sup=2
{i}{will}{die}{will}{die}	sup=2
{i}{will}{die}{not}{die}	sup=2
{i}{will}{survive}	sup=2
{i}{it}{all}	sup=2
{i}{it}{move}	sup=2
{i}{not}{i}{will}{not}	sup=2
{i}{not}{i}{will}{die}	sup=2
{i}{not}{i}{not}{die}	sup=2
{i}{not}{will}{not}{die}	sup=2
{i}{not}{all}{the}{time}	sup=2
{i}{not}{die}{i}{not}	sup=2
{i}{not}{die}{i}{die}	sup=2
{i}{not}{die}{will}{not}	sup=2
{i}{not}{die}{will}{die}	sup=2
{i}{not}{die}{not}{die}	sup=2
{i}{wake}{up}{scream}{now}	sup=2
{i}{just}{t}{to}{it}	sup=2
{i}{just}{t}{to}{hear}	sup=2
{i}{just}{t}{to}{anymore}	sup=2
{i}{just}{t}{want}{it}	sup=2
{i}{just}{t}{want}{to}	sup=2
{i}{just}{t}{want}{hear}	sup=2
{i}{just}{t}{hear}{it}	sup=2
{i}{just}{t}{hear}{anymore}	sup=2
{i}{just}{want}{it}{anymore}	sup=2
{i}{just}{want}{to}{it}	sup=2
{i}{just}{want}{to}{hear}	sup=2
{i}{just}{want}{to}{anymore}	sup=2
{i}{just}{want}{hear}{it}	sup=2
{i}{just}{want}{hear}{anymore}	sup=2
{i}{just}{don}{t}{to}	sup=2
{i}{just}{don}{t}{want}	sup=2
{i}{just}{don}{t}{hear}	sup=2
{i}{just}{don}{to}{it}	sup=2
{i}{just}{don}{to}{hear}	sup=2
{i}{just}{don}{to}{anymore}	sup=2
{i}{just}{don}{want}{it}	sup=2
{i}{just}{don}{want}{to}	sup=2
{i}{just}{don}{want}{hear}	sup=2
{i}{never}{i}{be}{this}	sup=2
{i}{never}{i}{be}{in}	sup=2
{i}{never}{i}{be}{stick}	sup=2
{i}{never}{i}{d}{be}	sup=2
{i}{never}{i}{d}{in}	sup=2
{i}{never}{i}{d}{stick}	sup=2
{i}{never}{i}{stick}{this}	sup=2
{i}{never}{i}{stick}{in}	sup=2
{i}{never}{i}{stick}{mess}	sup=2
{i}{never}{think}{i}{be}	sup=2
{i}{never}{think}{i}{d}	sup=2
{i}{never}{think}{i}{stick}	sup=2
{i}{never}{think}{be}{this}	sup=2
{i}{never}{think}{be}{in}	sup=2
{i}{never}{think}{be}{stick}	sup=2
{i}{never}{think}{d}{be}	sup=2
{i}{never}{think}{d}{in}	sup=2
{i}{never}{think}{d}{stick}	sup=2
{i}{never}{d}{be}{this}	sup=2
{i}{never}{d}{be}{in}	sup=2
{i}{never}{d}{be}{stick}	sup=2
{i}{never}{d}{in}{this}	sup=2
{i}{never}{d}{in}{mess}	sup=2
{i}{never}{d}{stick}{this}	sup=2
{i}{never}{d}{stick}{in}	sup=2
{i}{never}{d}{stick}{mess}	sup=2
{i}{learn}{how}{to}{life}	sup=2
{i}{learn}{how}{to}{live}	sup=2
{i}{learn}{how}{to}{on}	sup=2
{i}{learn}{how}{life}{my}	sup=2
{i}{learn}{how}{life}{on}	sup=2
{i}{learn}{how}{life}{own}	sup=2
{i}{learn}{how}{live}{my}	sup=2
{i}{learn}{how}{live}{life}	sup=2
{i}{learn}{how}{live}{on}	sup=2
{i}{learn}{to}{life}{my}	sup=2
{i}{learn}{to}{life}{on}	sup=2
{i}{learn}{to}{life}{own}	sup=2
{i}{learn}{to}{live}{my}	sup=2
{i}{learn}{to}{live}{life}	sup=2
{i}{learn}{to}{live}{on}	sup=2
{i}{learn}{to}{on}{my}	sup=2
{i}{learn}{to}{on}{own}	sup=2
{i}{learn}{live}{my}{own}	sup=2
{i}{learn}{live}{life}{my}	sup=2
{i}{learn}{live}{life}{on}	sup=2
{i}{learn}{live}{life}{own}	sup=2
{i}{learn}{live}{on}{my}	sup=2
{i}{learn}{live}{on}{own}	sup=2
{i}{how}{to}{life}{my}	sup=2
{i}{how}{to}{life}{on}	sup=2
{i}{how}{to}{life}{own}	sup=2
{i}{how}{to}{live}{my}	sup=2
{i}{how}{to}{live}{life}	sup=2
{i}{how}{to}{live}{on}	sup=2
{i}{how}{to}{on}{my}	sup=2
{i}{how}{to}{on}{own}	sup=2
{i}{how}{life}{my}{own}	sup=2
{i}{how}{life}{on}{my}	sup=2
{i}{how}{life}{on}{own}	sup=2
{i}{how}{live}{my}{own}	sup=2
{i}{how}{live}{life}{my}	sup=2
{i}{how}{live}{life}{on}	sup=2
{i}{how}{live}{life}{own}	sup=2
{i}{how}{live}{on}{my}	sup=2
{i}{how}{live}{on}{own}	sup=2
{i}{to}{myself}	sup=2
{i}{leave}{alone}	sup=2
{i}{think}{i}{have}{have}	sup=2
{i}{think}{i}{be}{this}	sup=2
{i}{think}{i}{be}{in}	sup=2
{i}{think}{i}{be}{stick}	sup=2
{i}{think}{i}{d}{be}	sup=2
{i}{think}{i}{d}{in}	sup=2
{i}{think}{i}{d}{stick}	sup=2
{i}{think}{i}{stick}{this}	sup=2
{i}{think}{i}{stick}{in}	sup=2
{i}{think}{i}{stick}{mess}	sup=2
{i}{think}{be}{this}{mess}	sup=2
{i}{think}{be}{in}{this}	sup=2
{i}{think}{be}{in}{mess}	sup=2
{i}{think}{be}{stick}{this}	sup=2
{i}{think}{be}{stick}{in}	sup=2
{i}{think}{be}{stick}{mess}	sup=2
{i}{think}{d}{be}{this}	sup=2
{i}{think}{d}{be}{in}	sup=2
{i}{think}{d}{be}{stick}	sup=2
{i}{think}{d}{in}{this}	sup=2
{i}{think}{d}{in}{mess}	sup=2
{i}{think}{d}{stick}{this}	sup=2
{i}{think}{d}{stick}{in}	sup=2
{i}{think}{d}{stick}{mess}	sup=2
{i}{lose}{my}	sup=2
{i}{know}{i}{i}{i}	sup=2
{i}{know}{i}{i}{know}	sup=2
{i}{know}{i}{know}{i}	sup=2
{i}{know}{i}{know}{know}	sup=2
{i}{know}{what}	sup=2
{i}{know}{you}{be}	sup=2
{i}{know}{s}	sup=2
{i}{know}{know}{i}{i}	sup=2
{i}{know}{know}{i}{know}	sup=2
{i}{know}{know}{know}{i}	sup=2
{i}{know}{know}{know}{know}	sup=2
{i}{always}{you}	sup=2
{i}{always}{it}{this}{way}	sup=2
{i}{always}{want}{it}{this}	sup=2
{i}{always}{want}{it}{way}	sup=2
{i}{something}	sup=2
{i}{break}	sup=2
{i}{feel}{this}	sup=2
{i}{feel}{it}	sup=2
{i}{feel}{numb}	sup=2
{i}{don}{t}{you}{here}	sup=2
{i}{don}{t}{to}{it}	sup=2
{i}{don}{t}{to}{hear}	sup=2
{i}{don}{t}{to}{anymore}	sup=2
{i}{don}{t}{want}{it}	sup=2
{i}{don}{t}{want}{to}	sup=2
{i}{don}{t}{want}{hear}	sup=2
{i}{don}{t}{need}{you}	sup=2
{i}{don}{t}{need}{here}	sup=2
{i}{don}{t}{hear}{it}	sup=2
{i}{don}{t}{hear}{anymore}	sup=2
{i}{don}{to}{it}{anymore}	sup=2
{i}{don}{to}{hear}{it}	sup=2
{i}{don}{to}{hear}{anymore}	sup=2
{i}{don}{want}{it}{anymore}	sup=2
{i}{don}{want}{to}{it}	sup=2
{i}{don}{want}{to}{hear}	sup=2
{i}{don}{want}{to}{anymore}	sup=2
{i}{don}{want}{hear}{it}	sup=2
{i}{don}{want}{hear}{anymore}	sup=2
{i}{don}{need}{you}{here}	sup=2
{i}{should}{have}	sup=2
{i}{could}{be}{mean}	sup=2
{i}{could}{be}{angry}	sup=2
{i}{die}{i}{will}{not}	sup=2
{i}{die}{i}{will}{die}	sup=2
{i}{die}{i}{not}{die}	sup=2
{i}{die}{will}{not}{die}	sup=2
{i}{remember}{when}{i}{say}	sup=2
{can}{t}{back}	sup=2
{can}{t}{go}	sup=2
{t}{away}	sup=2
{this}{this}{this}{this}{this}	sup=2
{this}{this}{this}{this}{animal}	sup=2
{this}{this}{this}{animal}{this}	sup=2
{this}{this}{this}{animal}{animal}	sup=2
{this}{this}{animal}{this}{this}	sup=2
{this}{this}{animal}{this}{animal}	sup=2
{this}{this}{animal}{animal}{this}	sup=2
{this}{this}{animal}{animal}{animal}	sup=2
{this}{animal}{this}{this}{this}	sup=2
{this}{animal}{this}{this}{animal}	sup=2
{this}{animal}{this}{animal}{this}	sup=2
{this}{animal}{this}{animal}{animal}	sup=2
{this}{animal}{animal}{this}{this}	sup=2
{this}{animal}{animal}{this}{animal}	sup=2
{this}{animal}{animal}{animal}{this}	sup=2
{this}{animal}{animal}{animal}{animal}	sup=2
{this}{world}{will}{never}{be}	sup=2
{this}{all}	sup=2
{so}{i}{be}{stand}{here}	sup=2
{so}{i}{be}{stand}{alone}	sup=2
{so}{i}{be}{here}{alone}	sup=2
{so}{i}{will}{all}{night}	sup=2
{so}{i}{will}{stay}{all}	sup=2
{so}{i}{will}{stay}{night}	sup=2
{so}{i}{stand}{here}{alone}	sup=2
{so}{i}{stay}{all}{night}	sup=2
{so}{many}{i}{have}{try}	sup=2
{so}{many}{time}{i}{try}	sup=2
{so}{many}{time}{have}{try}	sup=2
{so}{time}{i}{have}{try}	sup=2
{so}{be}{stand}{here}{alone}	sup=2
{so}{get}{up}	sup=2
{so}{will}{stay}{all}{night}	sup=2
{so}{up}{so}{let}{down}	sup=2
{so}{now}{i}{be}{stand}	sup=2
{so}{now}{i}{be}{here}	sup=2
{so}{now}{i}{be}{alone}	sup=2
{so}{now}{i}{stand}{here}	sup=2
{so}{now}{i}{stand}{alone}	sup=2
{so}{now}{i}{here}{alone}	sup=2
{so}{now}{be}{stand}{here}	sup=2
{so}{now}{be}{stand}{alone}	sup=2
{so}{now}{be}{here}{alone}	sup=2
{so}{now}{stand}{here}{alone}	sup=2
{so}{use}{so}{let}{down}	sup=2
{so}{use}{up}{so}{let}	sup=2
{so}{use}{up}{so}{down}	sup=2
{so}{use}{up}{let}{down}	sup=2
{so}{here}{i}{go}{again}	sup=2
{so}{off}	sup=2
{so}{bad}	sup=2
{time}{you}	sup=2
{have}{you}{find}{this}{time}	sup=2
{have}{you}{find}{out}{this}	sup=2
{have}{you}{find}{out}{time}	sup=2
{have}{you}{out}{this}{time}	sup=2
{have}{no}	sup=2
{have}{nothing}	sup=2
{have}{find}{out}{this}{time}	sup=2
{but}{i}{can}{t}{fight}	sup=2
{but}{i}{can}{stop}	sup=2
{but}{i}{be}{still}{cage}	sup=2
{but}{i}{be}{still}{inside}	sup=2
{but}{i}{be}{cage}{inside}	sup=2
{but}{i}{still}{cage}{inside}	sup=2
{but}{i}{it}	sup=2
{but}{i}{miss}{you}{yet}	sup=2
{but}{i}{haven}{t}{you}	sup=2
{but}{i}{haven}{t}{miss}	sup=2
{but}{i}{haven}{t}{yet}	sup=2
{but}{i}{haven}{you}{yet}	sup=2
{but}{i}{haven}{miss}{you}	sup=2
{but}{i}{haven}{miss}{yet}	sup=2
{but}{t}{miss}{you}{yet}	sup=2
{but}{be}{still}{cage}{inside}	sup=2
{but}{you}{will}	sup=2
{but}{you}{up}	sup=2
{but}{s}{still}{rage}{inside}	sup=2
{but}{there}{still}{rage}{inside}	sup=2
{but}{there}{s}{still}{inside}	sup=2
{but}{there}{s}{still}{rage}	sup=2
{but}{there}{s}{rage}{inside}	sup=2
{but}{my}	sup=2
{but}{haven}{t}{you}{yet}	sup=2
{but}{haven}{t}{miss}{you}	sup=2
{but}{haven}{t}{miss}{yet}	sup=2
{but}{haven}{miss}{you}{yet}	sup=2
{be}{so}{much}{good}{this}	sup=2
{be}{so}{much}{good}{than}	sup=2
{be}{so}{much}{than}{this}	sup=2
{be}{so}{good}{than}{this}	sup=2
{be}{to}{it}	sup=2
{be}{leave}	sup=2
{be}{my}{mind}	sup=2
{be}{think}{to}	sup=2
{be}{much}{good}{than}{this}	sup=2
{be}{come}	sup=2
{be}{lose}	sup=2
{be}{cold}	sup=2
{be}{last}	sup=2
{still}{t}{you}	sup=2
{somebody}{me}{from}{this}{nightmare}	sup=2
{somebody}{help}{me}{this}{nightmare}	sup=2
{somebody}{help}{me}{through}{this}	sup=2
{somebody}{help}{me}{through}{nightmare}	sup=2
{somebody}{help}{through}{this}{nightmare}	sup=2
{somebody}{wake}{me}{this}{nightmare}	sup=2
{somebody}{wake}{me}{from}{this}	sup=2
{somebody}{wake}{me}{from}{nightmare}	sup=2
{somebody}{wake}{from}{this}{nightmare}	sup=2
{me}{and}	sup=2
{me}{how}	sup=2
{me}{my}	sup=2
{what}{i}{expect}	sup=2
{if}{i}{i}{can}{only}	sup=2
{if}{i}{i}{can}{hope}	sup=2
{if}{i}{i}{only}{hope}	sup=2
{if}{i}{can}{only}{hope}	sup=2
{if}{i}{go}{i}{can}	sup=2
{if}{i}{go}{i}{only}	sup=2
{if}{i}{go}{i}{hope}	sup=2
{if}{i}{go}{can}{only}	sup=2
{if}{i}{go}{can}{hope}	sup=2
{if}{i}{go}{only}{hope}	sup=2
{if}{you}{feel}{so}{empty}	sup=2
{if}{you}{feel}{so}{angry}	sup=2
{if}{go}{i}{can}{only}	sup=2
{if}{go}{i}{can}{hope}	sup=2
{if}{go}{i}{only}{hope}	sup=2
{if}{go}{can}{only}{hope}	sup=2
{you}{try}{to}{lie}{and}	sup=2
{you}{be}{so}	sup=2
{you}{be}{way}{to}	sup=2
{you}{be}{way}{slow}	sup=2
{you}{me}{at}{you}{try}	sup=2
{you}{me}{at}{least}{try}	sup=2
{you}{me}{at}{least}{you}	sup=2
{you}{me}{down}{you}{try}	sup=2
{you}{me}{down}{at}{try}	sup=2
{you}{me}{down}{at}{you}	sup=2
{you}{me}{down}{at}{least}	sup=2
{you}{me}{down}{least}{try}	sup=2
{you}{me}{down}{least}{you}	sup=2
{you}{me}{fall}{for}{you}	sup=2
{you}{me}{least}{you}{try}	sup=2
{you}{you}{you}{you}{know}	sup=2
{you}{you}{you}{know}{you}	sup=2
{you}{you}{you}{know}{know}	sup=2
{you}{you}{know}{you}{you}	sup=2
{you}{you}{know}{you}{know}	sup=2
{you}{you}{know}{know}{you}	sup=2
{you}{you}{know}{know}{know}	sup=2
{you}{will}{be}{safe}{here}	sup=2
{you}{love}{me}	sup=2
{you}{think}{about}	sup=2
{you}{make}{me}{for}{you}	sup=2
{you}{make}{me}{fall}{you}	sup=2
{you}{make}{me}{fall}{for}	sup=2
{you}{make}{fall}{for}{you}	sup=2
{you}{good}	sup=2
{you}{come}{to}{me}{me}	sup=2
{you}{come}{to}{me}{watch}	sup=2
{you}{come}{to}{me}{burn}	sup=2
{you}{a}	sup=2
{you}{know}{you}{you}{you}	sup=2
{you}{know}{you}{you}{know}	sup=2
{you}{know}{you}{know}{you}	sup=2
{you}{know}{you}{know}{know}	sup=2
{you}{know}{know}{you}{you}	sup=2
{you}{know}{know}{you}{know}	sup=2
{you}{know}{know}{know}{you}	sup=2
{you}{know}{know}{know}{know}	sup=2
{you}{give}	sup=2
{you}{always}{that}	sup=2
{you}{down}{at}{you}{try}	sup=2
{you}{down}{at}{least}{try}	sup=2
{you}{down}{at}{least}{you}	sup=2
{you}{down}{least}{you}{try}	sup=2
{you}{don}{t}{even}{try}	sup=2
{you}{scream}{at}{me}	sup=2
{you}{off}	sup=2
{you}{hate}	sup=2
{you}{blame}{me}{but}	sup=2
{see}{it}{all}	sup=2
{see}{it}{in}{eye}	sup=2
{the}{i}{will}	sup=2
{the}{time}{have}	sup=2
{the}{time}{be}{change}{this}	sup=2
{the}{time}{be}{to}{this}	sup=2
{the}{time}{be}{to}{change}	sup=2
{the}{time}{be}{right}{this}	sup=2
{the}{time}{be}{right}{change}	sup=2
{the}{time}{be}{right}{to}	sup=2
{the}{time}{come}	sup=2
{the}{time}{right}{change}{this}	sup=2
{the}{time}{right}{to}{this}	sup=2
{the}{time}{right}{to}{change}	sup=2
{the}{be}{to}{change}{this}	sup=2
{the}{be}{right}{change}{this}	sup=2
{the}{be}{right}{to}{this}	sup=2
{the}{be}{right}{to}{change}	sup=2
{the}{will}{never}	sup=2
{the}{thing}	sup=2
{the}{world}	sup=2
{the}{we}{have}	sup=2
{the}{right}{to}{change}{this}	sup=2
{the}{life}{i}{think}{about}	sup=2
{the}{start}	sup=2
{the}{fear}	sup=2
{the}{rain}	sup=2
{the}{tear}	sup=2
{the}{truth}	sup=2
{of}{it}	sup=2
{one}{you}	sup=2
{one}{thing}	sup=2
{will}{get}{it}{back}	sup=2
{will}{you}{you}	sup=2
{will}{up}	sup=2
{will}{leave}	sup=2
{it}{be}{so}	sup=2
{it}{get}	sup=2
{it}{me}{down}{i}	sup=2
{it}{s}{you}{and}{me}	sup=2
{it}{s}{to}{you}{can}	sup=2
{it}{s}{to}{you}{t}	sup=2
{it}{s}{to}{you}{even}	sup=2
{it}{s}{to}{when}{can}	sup=2
{it}{s}{to}{when}{t}	sup=2
{it}{s}{to}{when}{you}	sup=2
{it}{s}{all}{you}{you}	sup=2
{it}{s}{all}{you}{for}	sup=2
{it}{s}{all}{of}{you}	sup=2
{it}{s}{all}{for}{for}	sup=2
{it}{s}{all}{because}{you}	sup=2
{it}{s}{all}{because}{of}	sup=2
{it}{s}{hard}{to}{you}	sup=2
{it}{s}{hard}{to}{when}	sup=2
{it}{s}{hard}{when}{can}	sup=2
{it}{s}{hard}{when}{t}	sup=2
{it}{s}{hard}{when}{you}	sup=2
{it}{s}{for}{you}{you}	sup=2
{it}{s}{for}{you}{for}	sup=2
{it}{s}{for}{for}{you}	sup=2
{it}{s}{only}{you}{me}	sup=2
{it}{s}{only}{you}{and}	sup=2
{it}{s}{only}{and}{me}	sup=2
{it}{s}{because}{of}{you}	sup=2
{it}{s}{over}{you}{you}	sup=2
{it}{s}{over}{you}{for}	sup=2
{it}{s}{over}{for}{for}	sup=2
{it}{to}{you}{can}{t}	sup=2
{it}{to}{you}{can}{even}	sup=2
{it}{to}{you}{t}{even}	sup=2
{it}{to}{when}{can}{t}	sup=2
{it}{to}{when}{can}{even}	sup=2
{it}{to}{when}{t}{even}	sup=2
{it}{to}{when}{you}{can}	sup=2
{it}{to}{when}{you}{t}	sup=2
{it}{to}{when}{you}{even}	sup=2
{it}{all}{you}{for}{you}	sup=2
{it}{all}{for}{you}{you}	sup=2
{it}{all}{for}{you}{for}	sup=2
{it}{all}{for}{for}{you}	sup=2
{it}{all}{because}{of}{you}	sup=2
{it}{all}{over}{you}{you}	sup=2
{it}{all}{over}{you}{for}	sup=2
{it}{all}{over}{for}{for}	sup=2
{it}{now}{never}{to}{decide}	sup=2
{it}{now}{or}{never}{to}	sup=2
{it}{now}{or}{never}{decide}	sup=2
{it}{now}{or}{to}{decide}	sup=2
{it}{my}	sup=2
{it}{back}{today}	sup=2
{it}{hard}{to}{you}{can}	sup=2
{it}{hard}{to}{you}{t}	sup=2
{it}{hard}{to}{you}{even}	sup=2
{it}{hard}{to}{when}{can}	sup=2
{it}{hard}{to}{when}{t}	sup=2
{it}{hard}{to}{when}{you}	sup=2
{it}{hard}{when}{can}{t}	sup=2
{it}{hard}{when}{can}{even}	sup=2
{it}{hard}{when}{t}{even}	sup=2
{it}{hard}{when}{you}{can}	sup=2
{it}{hard}{when}{you}{t}	sup=2
{it}{hard}{when}{you}{even}	sup=2
{it}{only}{you}{and}{me}	sup=2
{it}{over}{you}{for}{you}	sup=2
{it}{over}{for}{you}{you}	sup=2
{it}{over}{for}{you}{for}	sup=2
{it}{over}{for}{for}{you}	sup=2
{it}{wouldn}{t}{be}	sup=2
{it}{or}{never}{to}{decide}	sup=2
{it}{everyday}	sup=2
{s}{time}{for}	sup=2
{s}{go}	sup=2
{s}{for}{me}	sup=2
{there}{s}{no}	sup=2
{there}{s}{something}	sup=2
{there}{need}	sup=2
{wake}{i}{be}{a}{nightmare}	sup=2
{wake}{i}{be}{live}{nightmare}	sup=2
{wake}{i}{be}{live}{a}	sup=2
{wake}{i}{live}{a}{nightmare}	sup=2
{wake}{me}{i}{be}{nightmare}	sup=2
{wake}{me}{i}{be}{a}	sup=2
{wake}{me}{i}{be}{live}	sup=2
{wake}{me}{i}{a}{nightmare}	sup=2
{wake}{me}{i}{live}{nightmare}	sup=2
{wake}{me}{i}{live}{a}	sup=2
{wake}{me}{be}{a}{nightmare}	sup=2
{wake}{me}{be}{live}{nightmare}	sup=2
{wake}{me}{be}{live}{a}	sup=2
{wake}{me}{up}{i}{be}	sup=2
{wake}{me}{up}{i}{a}	sup=2
{wake}{me}{up}{i}{live}	sup=2
{wake}{me}{up}{be}{nightmare}	sup=2
{wake}{me}{up}{be}{a}	sup=2
{wake}{me}{up}{be}{live}	sup=2
{wake}{me}{up}{live}{nightmare}	sup=2
{wake}{me}{up}{live}{a}	sup=2
{wake}{up}{i}{be}{nightmare}	sup=2
{wake}{up}{i}{be}{a}	sup=2
{wake}{up}{i}{be}{live}	sup=2
{wake}{up}{i}{a}{nightmare}	sup=2
{wake}{up}{i}{live}{nightmare}	sup=2
{wake}{up}{i}{live}{a}	sup=2
{wake}{up}{be}{a}{nightmare}	sup=2
{wake}{up}{be}{live}{nightmare}	sup=2
{wake}{up}{be}{live}{a}	sup=2
{wake}{up}{live}{a}{nightmare}	sup=2
{just}{not}{enough}	sup=2
{just}{let}{me}	sup=2
{thing}{be}	sup=2
{and}{i}{have}{nowhere}{to}	sup=2
{and}{i}{have}{nowhere}{go}	sup=2
{and}{i}{have}{nowhere}{else}	sup=2
{and}{i}{still}{nowhere}{to}	sup=2
{and}{i}{still}{nowhere}{go}	sup=2
{and}{i}{still}{nowhere}{else}	sup=2
{and}{i}{still}{else}{to}	sup=2
{and}{i}{still}{else}{go}	sup=2
{and}{i}{you}	sup=2
{and}{i}{it}	sup=2
{and}{i}{need}	sup=2
{and}{i}{don}{t}{belong}	sup=2
{and}{this}{world}{around}{me}	sup=2
{and}{have}{still}{get}{to}	sup=2
{and}{have}{still}{get}{nowhere}	sup=2
{and}{have}{still}{get}{else}	sup=2
{and}{have}{still}{nowhere}{to}	sup=2
{and}{have}{still}{nowhere}{go}	sup=2
{and}{have}{still}{nowhere}{else}	sup=2
{and}{have}{still}{else}{to}	sup=2
{and}{have}{still}{else}{go}	sup=2
{and}{have}{get}{to}{go}	sup=2
{and}{have}{get}{nowhere}{to}	sup=2
{and}{have}{get}{nowhere}{go}	sup=2
{and}{have}{get}{nowhere}{else}	sup=2
{and}{have}{get}{else}{to}	sup=2
{and}{have}{get}{else}{go}	sup=2
{and}{still}{get}{to}{go}	sup=2
{and}{still}{get}{nowhere}{to}	sup=2
{and}{still}{get}{nowhere}{go}	sup=2
{and}{still}{get}{nowhere}{else}	sup=2
{and}{still}{get}{else}{to}	sup=2
{and}{still}{get}{else}{go}	sup=2
{and}{myself}{before}{i}{drown}	sup=2
{and}{if}{i}{t}{belong}	sup=2
{and}{if}{i}{don}{t}	sup=2
{and}{if}{i}{don}{belong}	sup=2
{and}{if}{don}{t}{belong}	sup=2
{and}{you}{be}{go}{forever}	sup=2
{and}{your}{trip}{begin}{but}	sup=2
{and}{now}{be}{go}{forever}	sup=2
{and}{now}{you}{be}{go}	sup=2
{and}{now}{you}{be}{forever}	sup=2
{and}{now}{you}{go}{forever}	sup=2
{and}{now}{s}	sup=2
{and}{now}{your}{trip}{but}	sup=2
{and}{now}{your}{trip}{begin}	sup=2
{and}{now}{your}{begin}{but}	sup=2
{and}{now}{trip}{begin}{but}	sup=2
{and}{know}{that}	sup=2
{and}{in}{this}{world}{me}	sup=2
{and}{in}{this}{world}{around}	sup=2
{and}{in}{this}{around}{me}	sup=2
{and}{in}{world}{around}{me}	sup=2
{and}{save}{myself}{i}{drown}	sup=2
