{one}{drink}	sup=18
{d}{kill}{every}{bastard}{friend}	sup=3
{d}{kill}{one}{bastard}{friend}	sup=3
{d}{last}{one}{bastard}{friend}	sup=3
{d}{make}{mistake}	sup=3
{d}{every}{last}{one}{friend}	sup=3
{d}{every}{last}{one}{bastard}	sup=3
{d}{every}{last}{bastard}{friend}	sup=3
{d}{every}{one}{bastard}{friend}	sup=3
{could}{go}{back}{make}{amends}	sup=3
{eye}{shine}{like}{ray}{morning}	sup=3
{throw}{mug}	sup=3
{bottle}{rum}	sup=3
{gonna}{wish}{dead}	sup=3
{mouth}{burning}{flame}	sup=3
{eviscerate}{whim}	sup=3
{wind}{blow}	sup=3
{midget}{see}{pirate}{code}	sup=3
{midget}{see}{deadly}{fate}	sup=3
{chop}{limb}{become}{shark}{bait}	sup=3
{chop}{piece}	sup=3
{rip}{shred}	sup=3
{regret}{day}	sup=3
{dawn}{sun}	sup=3
{oh}{pour}{slug}	sup=3
{sing}{song}	sup=3
{hail}{huntmaster}	sup=3
{shipwreck}{destiny}	sup=3
{shipwreck}{cease}	sup=3
{party}{night}	sup=3
{captain}{stand}{bridge}{sing}	sup=4
{time}{fight}	sup=4
{fire}{cannon}	sup=4
{slaying}{foe}	sup=4
{black}{sail}{midnight}	sup=4
{set}{quest}	sup=4
{set}{sail}{conquer}	sup=4
{search}{search}	sup=4
{curse}{curse}	sup=4
{lead}{us}{grave}	sup=4
{look}{back}	sup=4
{every}{last}	sup=4
{d}{make}	sup=4
{could}{back}	sup=4
{terror}{high}{sea}	sup=4
{proud}{edward}{army}{send}{homeward}	sup=4
{tae}{think}	sup=4
{bring}{jug}{famous}{ol}{spice}	sup=4
{cresting}{wave}	sup=4
{dare}{oppose}	sup=4
{wench}{mead}	sup=4
{want}{wench}	sup=4
{bind}{close}{sea}	sup=4
{starboard}{bow}	sup=5
{time}{come}	sup=5
{steal}{show}{jolly}{rogers}{go}	sup=5
{set}{conquer}	sup=5
{til}{die}	sup=5
{terror}{sea}	sup=5
{hoist}{flag}{free}	sup=5
{must}{go}	sup=6
{many}{year}	sup=6
{sail}{conquer}	sup=6
{death}{come}	sup=6
{raise}{tankard}{ale}{sky}	sup=6
{one}{drink}{die}	sup=6
{seem}{journey}{come}{end}	sup=6
{midget}{see}	sup=6
{tale}{tell}	sup=6
{storey}{battle}{old}	sup=6
{scrape}{barrel}{friend}	sup=6
{hey}{banjaxed}{hey}{screw}	sup=6
{trapped}{island}{lose}{sea}	sup=6
{jug}{famous}{ol}{spice}	sup=6
{wolf}{sea}	sup=6
{back}{time}	sup=7
{lose}{sea}	sup=7
{scrape}{barrel}	sup=7
{famous}{ol}{spice}	sup=7
{buckfast}{powersmash}	sup=8
{raise}{sky}	sup=8
{set}{sail}	sup=9
{get}{drunk}	sup=9
{lead}{us}	sup=9
{tankard}{ale}	sup=9
{hi}{hi}{ho}{hi}{hey}	sup=9
{hi}{hi}{ho}{hi}{hi}	sup=9
{hi}{hi}{hi}{hi}{hey}	sup=9
{one}{drink}{sunk}{n}{norwegian}	sup=12
{hey}{hey}	sup=12
{n}{norwegian}	sup=14

